Expediente,Fecha resolucion,Sala,PDF link
CFP 3017/2013,23/03/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5072091&tipo=corrupcion-administrativa
CFP 3017/2013,21/03/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5064370&tipo=corrupcion-administrativa
CFP 3017/2013,21/03/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5064312&tipo=corrupcion-administrativa
CFP 3017/2013,21/03/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5064291&tipo=corrupcion-administrativa
CFP 3017/2013,10/03/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=5028681&tipo=corrupcion-administrativa
CFP 3017/2013,24/02/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4991140&tipo=corrupcion-administrativa
CFP 3017/2013,24/02/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4991137&tipo=corrupcion-administrativa
CFP 3017/2013,21/02/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4975352&tipo=corrupcion-administrativa
CFP 3017/2013,17/02/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4965833&tipo=corrupcion-administrativa
CFP 3017/2013,15/02/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4957561&tipo=corrupcion-administrativa
CFP 3017/2013,14/02/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4952299&tipo=corrupcion-administrativa
CFP 3017/2013,26/01/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4911330&tipo=corrupcion-administrativa
CFP 3017/2013,23/01/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4910876&tipo=corrupcion-administrativa
CFP 3017/2013,23/01/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4910877&tipo=corrupcion-administrativa
CFP 3017/2013,23/01/2017, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4910875&tipo=corrupcion-administrativa
CFP 3017/2013,06/12/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4834192&tipo=corrupcion-administrativa
CFP 3017/2013,06/12/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4834189&tipo=corrupcion-administrativa
CFP 3017/2013,06/12/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4834167&tipo=corrupcion-administrativa
CFP 3017/2013,06/12/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4834209&tipo=corrupcion-administrativa
CFP 3017/2013,29/11/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4811808&tipo=corrupcion-administrativa
CFP 3017/2013,24/11/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4803664&tipo=corrupcion-administrativa
CFP 3017/2013,22/11/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4794518&tipo=corrupcion-administrativa
CFP 3017/2013,17/11/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4780627&tipo=corrupcion-administrativa
CFP 3017/2013,10/11/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4763668&tipo=corrupcion-administrativa
CFP 3017/2013,09/11/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4761853&tipo=corrupcion-administrativa
CFP 3017/2013,09/11/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4761851&tipo=corrupcion-administrativa
CFP 3017/2013,02/11/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4742355&tipo=corrupcion-administrativa
CFP 3017/2013,26/10/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4719154&tipo=corrupcion-administrativa
CFP 3017/2013,14/10/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4680189&tipo=corrupcion-administrativa
CFP 3017/2013,04/10/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4648231&tipo=corrupcion-administrativa
CFP 3017/2013,03/10/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4643454&tipo=corrupcion-administrativa
CFP 3017/2013,28/09/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4629872&tipo=corrupcion-administrativa
CFP 3017/2013,21/09/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4605518&tipo=corrupcion-administrativa
CFP 3017/2013,20/09/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4600286&tipo=corrupcion-administrativa
CFP 3017/2013,20/09/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4600366&tipo=corrupcion-administrativa
CFP 3017/2013,20/09/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4600278&tipo=corrupcion-administrativa
CFP 3017/2013,13/09/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4577566&tipo=corrupcion-administrativa
CFP 3017/2013,07/09/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4559290&tipo=corrupcion-administrativa
CFP 3017/2013,01/09/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4542200&tipo=corrupcion-administrativa
CFP 3017/2013,29/08/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4531157&tipo=corrupcion-administrativa
CFP 3017/2013,24/08/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4512159&tipo=corrupcion-administrativa
CFP 3017/2013,12/08/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4479544&tipo=corrupcion-administrativa
CFP 3017/2013,05/08/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4452145&tipo=corrupcion-administrativa
CFP 3017/2013,15/07/2016, CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 2,http://www.cij.gov.ar/scp/include/showFile.php?acc=showFAR&id=4425237&tipo=corrupcion-administrativa
